Product Title,Product URL,Date Scraped,Compressor brand,core components,Packaging,type,material,Surface material,application,size,Running Weight,Product name,cooling type,Fin space,dimension(l*w*h),Condition,Model,Capacity,Application,Horse power,Fan brand,After Warranty Service,After-sales Service,Fans,Power supply,Delivery,Cooling capacity,Door type,After-sale Service,Condenser,power(w),After-sales Service Provided,Cold room doors,Heat exchanger air area,Fan Type,Cold Room Panel Thickness,Certification,Model Number,Heating capacity,Keywords,SERVICE,Key Selling Points,Single gross weight:,after-sales service provided,Port,QTY of Glass Door,Fin material,Tube diameter,Length,brand name,other price,Brand Name,Keyword,Supply Ability,Parking,Item,Advantage,Machinery Test Report,Packaging Details,Axial fan power,electrical expansion valve,Key words,Dimension(L*W*H),Cooling type,Panel Thickness,Warranty,key selling points,Core material,Air-cooled Condenser,Temperature,Power,Description,Panel thickness,controller board,Size,Axial fan air volume,Temp controller,Thickness of Color Steel,Compressor,Horse Power,Cooling system,Thickness of PU Panel,Type,refrigerant,voltage,Voltage,Single package size:,FIn type,"dry filter,sight glass",temperature,Product Type,Fan,model number,Density,Condenser type,panel thickness,Condensing unit,Color,Panel,Place of Origin,mounting type,Shape,Brand,Weight (kg),weight (kg),power,Standard air cooler,Cold room use,heat removal,Selling Units:,Coil Material,warranty,feature,FPI,Packing,video outgoing-inspection,Glass Door Size,Tem. range,Project Solution Capability,fan motors type,Customized,Panel Material,Applicable temperature,OEM service,power source,Walk in Cooler Freezer Door Type,Lead Time,Design Style,Function,place of origin,MOQ,Width,Fireproof,Usage,Fan motor,Cooling Type,Refrigerant,Material,Cold Room Ship,transport weight,Pump type,Compressor type,Raw Material,Cooling way,Placement Method,Surface,machinery test report,Weight (KG),Control system,Pressure sensor,Tube material,Usage of cold room,Sample service,Panel material,Functions,Type of packaging,Tube plate,cooling capacity,Power requirement,door type,color,Thickness,Applicable Industries,compressor brand
Large Logistics Cold Storage Room Walking in Freezing Equipment Cold Room Storage Refrigeration Condenser Unit Cold Room Price,https://www.alibaba.com/product-detail/Large-Logistics-Cold-Storage-Room-Walking_1601242247417.html,2025-02-19 15:27:50,N/A,motor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Air Cooled Condenser,N/A,N/A,N/A,N/A,Customer's Request,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18KW~4000KW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sustainable, Automatic, High-accuracy, Easy to Operate, Competitive Price, High Productivity",N/A,N/A,"-20-8c, 8-18c, 18-20c, 20-25c, 25-30c, 30-35c",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2~100HP,N/A,N/A,N/A,"R22,R404A,R507,R134",220V~240v 380V~400v,"220-240V/50Hz,380V-440V/3Ph/50HZ-60HZ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Bitzer,Copeland,Daming,Blait",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,Refrigerating System Parts,N/A,N/A,R404A/R134A/R507,Copper,N/A,N/A,N/A,Semi-hermitic Reciprocating Compressors,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1~100KW,N/A,N/A,N/A,N/A,N/A,Bitzer
Competitive Price Without Fan Motor Cold Storage Room Compact Vertical Condensers for Condensing Unit,https://www.alibaba.com/product-detail/Competitive-Price-Without-Fan-Motor-Cold_1601375637456.html,2025-02-19 15:28:01,N/A,N/A,N/A,Refrigeration Parts,N/A,N/A,Cold Storage Refrigeration System,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,online Service,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High-performance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Refrigeration System,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Condenser,1/2/4/6 sets,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,Durable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,N/A,N/A,N/A,N/A,"Tianjin, China",1pcs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Horizontal,6㎡,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OEM VRCOOLER Walk in Cooler Condenser and Evaporator Freezer Storage Aluminum Fin air Cooler for Cold Room Fan Unit Cooler,https://www.alibaba.com/product-detail/OEM-VRCOOLER-Walk-in-Cooler-Condenser_1600157249263.html,2025-02-19 15:28:15,N/A,Pressure vessel,N/A,AIR COOLER,N/A,N/A,N/A,N/A,N/A,coil as evaporator for for Poultry processing,N/A,N/A,1300*510*740,N/A,N/A,N/A,N/A,N/A,Custom made,N/A,N/A,N/A,220V/380V-Custom made,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.-169kw,N/A,N/A,N/A,315.000 kg,N/A,N/A,N/A,N/A,"9.52/12.7/15.8, according to the mold",N/A,VRcooler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Competitive Price,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150X40X65 cm,"Wave fin, flat fin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ceiling Mount,N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,Single item,N/A,1 Year,N/A,CUstom made,N/A,Provided,N/A,N/A,N/A,AC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"aluminum, copper, SS304/316",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Custom
"Top-mounted Freezing Cold Storage Condenser Unit,Refrigeration Condenser Unit,Air Cooled",https://www.alibaba.com/product-detail/Top-mounted-Freezing-Cold-Storage-Condenser_1600920692526.html,2025-02-19 15:28:30,N/A,"motor, Compressor",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Monoblock condensing unit,N/A,N/A,1220*815*540mm,N/A,N/A,N/A,N/A,N/A,N/A,Video technical support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1035W,Free spare parts,N/A,N/A,N/A,N/A,ce,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shanghai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2500 Piece/Pieces per   Month,N/A,N/A,N/A,N/A,"1 pcs 1 box,Wooden Pallet",N/A,Carel,N/A,N/A,N/A,N/A,N/A,"Sustainable, Automatic, High-accuracy, Easy to Operate, High Productivity, Other, Remote Monitoring, Long Service Life, Remote Control, Patented Product, Energy saving, Low Maintenance Cost, Famous brand PLC, Accurate temperature control, Digital",N/A,N/A,N/A,N/A,N/A,N/A,Carel,N/A,N/A,N/A,N/A,Sanyo,N/A,N/A,N/A,N/A,R404a,220V,N/A,N/A,N/A,Danfoss,N/A,N/A,N/A,SS-DC100/RM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,brushless dc motor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Carel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5CBM,N/A,N/A,N/A,N/A,N/A,Sanyo
N/A,https://www.alibaba.com/product-detail/Freezer-Room-Refrigeration-Unit-Cold-Room_511938529.html,2025-02-19 15:28:49,N/A,"Pressure vessel, motor, Other, Bearing, Gear, Gearbox, PLC, Pump, Engine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Condensing Unit,N/A,N/A,CUSTOMIZED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Condensing Unit,N/A,N/A,36.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Life,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sustainable, High-accuracy, Easy to Operate, Competitive Price, High Productivity",N/A,N/A,"-20-8c, 18-20c, 8-18c, 20-25c",N/A,N/A,N/A,N/A,Customzied Size,N/A,N/A,N/A,Customer's Request,N/A,N/A,N/A,Customer-made,R404a,5KW,N/A,21X26X22 cm,N/A,N/A,N/A,Cold Stroage Room,N/A,XMJL,N/A,N/A,N/A,Hermetic Air-cooled Condensing Unit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,1 Year,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fujian, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Air Cooling Water Cooling,N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,N/A,N/A,Quick-freezing,N/A,N/A,30ton,N/A,N/A,N/A,N/A,N/A,Xiamen Jialiang
Professional R&D Team Outside Cold Room Condensing Unit Cold Storage Condenser on Sale,https://www.alibaba.com/product-detail/Professional-R-D-Team-Outside-Cold_1600180338433.html,2025-02-19 15:28:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Industrial-Refrigeration-Unit-Customized-Condenser-Unit_1601376423367.html,2025-02-19 15:29:14,N/A,"motor, compressor",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Water cooling condensing unit,N/A,N/A,custom,N/A,N/A,N/A,N/A,3~50HP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shell and tube condenser,N/A,N/A,N/A,N/A,N/A,N/A,CE Certificate,N/A,N/A,N/A,OEM ODM Services,N/A,200.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,contact us,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High-accuracy,N/A,N/A,15~-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R22/R404A,custom,N/A,100X85X85 cm,N/A,N/A,N/A,N/A,N/A,custom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,1 Year,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,N/A,N/A,R22/R404A,N/A,N/A,N/A,N/A,Semi-hermitic Reciprocating Compressors,N/A,N/A,N/A,N/A,N/A,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20t,N/A,N/A,Green,N/A,N/A,Bitzer
Factory Price DJ Cold Storage Air Cooler Evaporator Condenser Cold Room New Emerson Motor Engine Various Models Available,https://www.alibaba.com/product-detail/Factory-Price-DJ-Cold-Storage-Air_1601061404456.html,2025-02-19 15:29:27,N/A,"motor, Engine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Air Cooled Refrigeration Condensing Unit,N/A,N/A,1850*670*850,N/A,N/A,N/A,Industrial Cooling Solutions,N/A,N/A,N/A,N/A,2/3/4,N/A,N/A,N/A,N/A,N/A,N/A,18.8kw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Automatic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Air Cooled Refrigeration,380V/3P/50HZ,N/A,1850X670X850 cm,N/A,N/A,N/A,N/A,N/A,DJ-18.8/100,N/A,N/A,N/A,N/A,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,1 Year,N/A,N/A,Wooden Case,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100m²,N/A,N/A,N/A,N/A,N/A,Emerson
4HP CB-4HP air Cooled air Dryer Condenser for Cold Storage,https://www.alibaba.com/product-detail/4HP-CB-4HP-air-Cooled-air_60585421397.html,2025-02-19 15:29:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frozen Foods Seafood Storage Walk in Cold Room Glass Doors Chiller Freezer With Remote Condensing Units,https://www.alibaba.com/product-detail/Frozen-Foods-Seafood-Storage-Walk-in_1601041315794.html,2025-02-19 15:30:25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stainless SteelAir Cooling Vertical Fridge Large Capacity Industrial Commercial Refrigerator Big Freezer,https://www.alibaba.com/product-detail/Stainless-SteelAir-Cooling-Vertical-Fridge-Large_1601359016268.html?s=p,2025-02-19 15:30:58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Factory Price DD DJ DL a Variety of Models Cold Storage Air Cooler Evaporator and Condenser for Cold Room,https://www.alibaba.com/product-detail/Factory-Price-DD-DJ-DL-a_1600744328764.html,2025-02-19 15:31:51,N/A,Engine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4mm, 6mm, 9mm or customized",N/A,N/A,N/A,N/A,Heat Transfer/Chiller,N/A,N/A,Video technical support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free spare parts,N/A,8㎡ to 500㎡,N/A,N/A,CE,N/A,N/A,N/A,N/A,N/A,50.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,PENGUIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-40℃ to +20℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50X50X50 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,White/Blue/Silver/stainless steel color,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,1 Year,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,YES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copper/Titanium/High efficiency threaded pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R717 NH3 Ammonia Refrigeration Industrial Evaporative Condenser,https://www.alibaba.com/product-detail/R717-NH3-Ammonia-Refrigeration-Industrial-Evaporative_62309359884.html?s=p,2025-02-19 15:32:28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Storage Room Refrigeration Equipment Units Remote Compressor Condenser Units air Cooler,https://www.alibaba.com/product-detail/Cold-Storage-Room-Refrigeration-Equipment-Units_1601234415433.html,2025-02-19 15:33:03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Automated-Warehouse-Solution-Cold-Rooms-Rack_1601314970330.html?s=p,2025-02-19 15:34:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Storage Cooler Chiller Room with Compressor Condensing Unit,https://www.alibaba.com/product-detail/Cold-Storage-Cooler-Chiller-Room-with_1601364010002.html,2025-02-19 15:34:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
