Product Title,Product URL,Date Scraped,Control type,Power suppy,Cooling capacity,Thickness of Panel,Complication,Door,Measuring Object,Industries,Temperature range,Condition,Brand,Refrigerant of cold room,Defrosting Contactor,Weight Capacity,After Warranty Service,Packing,Panel Material,Size specification,Product Name,weight (kg),Usage of cold room,Panel Thickness,Structure,Packaging Details,Surface Treatment,Cooling system,style,After-sales Service,model number,Drawing  format,Memory,key selling points,Place of Origin,core components,Construction,Compressive strength,Feature,Function,Selling Units:,Supply Ability,Thickness,Cooling way,Cold room door,Applicable place,Refrigerating unit:,Hole size,accuracy level,Panel,Panel Density:,Indicator,Evaporator brand,machinery test report,Power Consumption,after-sales service provided,Volume,Control mode,Temperature Measuring Range,ip level,climate type,Panel material,Model Number,PAYMENT,operating language,Marketing Type,Voltage (V),Installation:,Width,I/O number,Custom,voltage,Communication interface,Compressor type,Plate Thickness,Steel Material,refrigerant,video outgoing-inspection,Air cooler contactor,Import or not,warranty,Single package size:,Cooling Type,Temperature Control Range,Color,Single gross weight:,Cooling way:,Resolution,eco-friendly,Project Solution Capability,Panel connection,Type,Surface treatment,Rated Current,Suitable for Cooling,Surface Material,Types,Temperature measurement error,Phase sequence protection,Power Supply,Door type,Lead Time,place of origin,application,Delivery time,Keywords,Box Type,Cooling water,Refrigerant,Control system,Density,Dimension(L*W*H),Compressor,External Size,Application,compressor brand,Measuring range,Air switch,Design Style,capacity,type,Connection System,power source,Temperature control,Advantage,Controller,Operating temperature,Application:,Brand Name,Cooling approach:,Panel thickness,feature,Core material,Installation,brand name,cooling capacity,Key Selling Points,Layer,Functions,Air cooler,Thickness of panel:,Surface material of cold room,Storage temperature Range,Applicable,Weight (KG),Wall panel of cold storage room,Size,Certification,rated voltage,Voltage,Compressor brand,Dimension,Insulation types,color,Customized processing,dimension(l*w*h),temperature,Surface material,Model,Panel core material,Relative humidity,logo/pattern,Product Type,Refrigerant:,temperature range,Customization,After-sale Service,After Warranty Service:,Original Factory,Country of origin,condition,panel thickness,power,Certificate,Box size,Sensor Type,Functions:,Certification:,Temperature Range,Insulation material,Logo,customized support,Product name,Usage,Port,Shipping package,After-sales Service Provided,Display mode,Material,Keyword,Doors,Warranty,Compressor Contactor,COLOR,Local power supply,MOQ
Control Panels and Freezer Control Box Electric Usage Plc Control Cabinet Stainless for Cold Storage,https://www.alibaba.com/product-detail/Control-Panels-and-Freezer-Control-Box_10000023889530.html,2025-02-19 16:48:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Foam+carton box, 8.5 kg",N/A,N/A,Cold Room Door Controller System,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,Durable,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"According to needs, door accessories can be customized",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.5X21.5X51 cm,N/A,N/A,N/A,8.500 kg,N/A,N/A,N/A,3D model design,N/A,N/A,N/A,N/A,N/A,N/A,Cold room door accessories,N/A,N/A,"220VAC+10%,50Hz/60Hz",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,door,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Changzhou Taiqi Refrigeration Technology Co., Ltd.",N/A,N/A,N/A,N/A,Screw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.5X21.5X51 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,"Yes, located in Changzhou, Jiangsu",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage,N/A,N/A,N/A,N/A,Stainless Steel,N/A,N/A,1 Year,N/A,N/A,N/A,1 Set
40 Feet Cold Room Containers Controlled Atmosphere Cold Storage,https://www.alibaba.com/product-detail/40-Feet-Cold-Room-Containers-Controlled_60598419854.html,2025-02-19 16:48:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New,Cryo Systems,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy saving,N/A,"Pressure vessel, motor, Pump, Engine",N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150 mm PU panels,N/A,N/A,N/A,Provided,N/A,N/A,from 2 to 300 cubit meters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"220V, 380V",N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,240X110X100 cm,N/A,N/A,N/A,1200.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,N/A,"R22, R404A",N/A,N/A,N/A,N/A,N/A,N/A,Bitzer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dixell,N/A,N/A,N/A,N/A,N/A,Custom dimensions,N/A,N/A,Cryo Systems,N/A,N/A,N/A,N/A,Up to 4 fans,N/A,N/A,N/A,N/A,1000,N/A,Any size is ok,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,As per your requirements,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Engineers available to service machinery overseas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 set
Mobile Cold Room Color Steel Stainless Steel Walk-in Freezer Cold Storage PU Panel Cold Room Equipment  Cold Room,https://www.alibaba.com/product-detail/Mobile-Cold-Room-Color-Steel-Stainless_1600787138327.html,2025-02-19 16:49:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Strong wooden case suitable for sea shipment,N/A,Air Cooling Condesor,N/A,Overseas service center available,N/A,N/A,N/A,Long Service Life,N/A,"Pressure vessel, motor, PLC, Engine, Other, Refrigeration units, Evaporator, PU cold storage insulation board",N/A,N/A,N/A,N/A,N/A,100 Set/Sets per   Day,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110v~480v,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,N/A,N/A,Custom Color,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,"R507,R404,R134",N/A,N/A,N/A,N/A,N/A,N/A,"Bitzer, Fusheng, Sanyo, Emerson, Xumei, Other, Boer, Other brands in China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,N/A,Boer,Customer requirements,N/A,N/A,Vegetable Refrigerator Fruit Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customzied Size,N/A,N/A,"220V/60HZ,380V/50HZ,400V/50HZ",N/A,N/A,N/A,N/A,N/A,custom made,-40℃ ~ +20℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100MM, 200mm, 120mm, 75mm, 50MM, 150mm, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,PU cold storage panels,N/A,N/A,Cold Storage PU-panel,"Cold Storage, Fresh Keeping",QINGDAO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Control-Panels-and-Freezer-Control-Box_1600894583766.html,2025-02-19 16:49:17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online support,carton  packing,N/A,N/A,N/A,0.6,N/A,N/A,N/A,carton packaging,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,10000 Piece/Pieces per   Week,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New Product 2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,1morth,65X60X20 cm,N/A,N/A,N/A,0.650 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3-5days,"Jiangsu, China",Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigeration Compressor Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electric control box,Cold Room,shanghai port  ningbo port  Qingdao Port,N/A,N/A,N/A,metal,N/A,N/A,Unavailable,N/A,N/A,N/A,1sets
Walk in Cooler Pu Insulation Wall Floor Sandwich Panels for Cold Storage Room Freezer,https://www.alibaba.com/product-detail/Walk-in-Cooler-Pu-Insulation-Wall_60792038195.html,2025-02-19 16:49:31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plywood box with pallet package for Walk In Cooler Panels For Cold Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Automatic,N/A,Engine,N/A,N/A,N/A,N/A,Single item,20000 Square Meter/Square Meters per   Month Walk In Cooler Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380V/220V/460V,N/A,N/A,N/A,"color steel , stainless steel",N/A,Provided,N/A,N/A,1 Year,100X100X18 cm,N/A,N/A,N/A,20.000 kg,N/A,N/A,N/A,N/A,cam-lock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"sliding door , hinged door",N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,"R404A,R507",N/A,40~42KG/M3,N/A,N/A,N/A,N/A,Copeland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"50,75,100,120,150,200mm",Container,N/A,N/A,Hugecool,3ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized,-45~+15C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100MM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walk In Cooler Panels,"Beer , meat , fish , fruit , vegetable",Shanghai port for Walk In Cooler Panels,N/A,Overseas service center available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Temperature Control Box Cold Room Electric Control Panel,https://www.alibaba.com/product-detail/Digital-Temperature-Control-Box-Cold-Room_60453713708.html,2025-02-19 16:49:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CARTONS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,30X18X15 cm,N/A,N/A,N/A,2.500 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,refrigeration system,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BLACK,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Direct-Sales-Small-Fruit-and-Vegetable_1601069044083.html,2025-02-19 16:49:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nonmetal,N/A,pu panel and glass door,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Walk-in freezer cooler, reach-in cases",Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Free spare parts, None",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 years,100X50X55 cm,N/A,N/A,Custom Color,50.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel or color steel,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China","outdoor, Commercial",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Freezer Parts,N/A,"Battery, Electric",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yijia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customize Size,N/A,N/A,110-120v/220-240v,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Commerical Appliances,N/A,N/A,N/A,N/A,N/A,glass panel with edge pu sound insulation suppliers,N/A,N/A,N/A,N/A,N/A,N/A
Modular Cold Storage Room With PU Insulated Calmlock Sandwich Panel Cold Room,https://www.alibaba.com/product-detail/Modular-Cold-Storage-Room-With-PU_1600150176441.html,2025-02-19 16:50:06,N/A,N/A,61.8KW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wooden case/ carton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High-accuracy,N/A,PLC,N/A,N/A,N/A,N/A,Single item,10 Set/Sets per   Month Bitzer Compressor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380V/3P/60HZ,N/A,Semi-hermetic,N/A,N/A,R404A/R507A,Provided,N/A,N/A,1 Year,100X100X100 cm,Water-cooled,N/A,Blue+Green,60.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Anhui, China",N/A,N/A,N/A,N/A,19m3/h,N/A,N/A,N/A,N/A,Bitzer,N/A,N/A,Bitzer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,N/A,Meluck,50ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10*10*3,-50℃ ~ 20℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100MM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shanghai,N/A,Overseas service center available,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,N/A
One Stop Mobile Mini Cold Room Solution Camlock PU Panels Refrigeration Unit for Cold Storage Use,https://www.alibaba.com/product-detail/One-Stop-Mobile-Mini-Cold-Room_1601370019078.html,2025-02-19 16:50:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XFLK-A34,N/A,N/A,Long Service Life,N/A,"Cold Room Panel, Cold Room Door, Condensing Unit, Evaporator/Unit Cooler, Contro Box, Expansion Valve",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"220V/1Ph/50Hz, 380V/3Ph/50Hz etc",N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,3 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TECUMSEH, Copeland, Performer, Bitzer, Sanyo, DORIN, Fusheng",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,xiangfeng,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1000W,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/100mm-Thickness-Polyurethane-Insulated-Panel-for_1601048948013.html,2025-02-19 16:50:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"color steel sheet, stainless steel sheet, or aluminum",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Hebei, China",N/A,N/A,>0.2Mpa,N/A,Sound-absorbing Decoration Wall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold storage panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"50,75, 100, 150,200mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation, Others",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Full automatic control system,N/A,Customized Size,N/A,N/A,"Medicine, seafood,fruits and vegetables ...",N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DH,N/A,N/A,N/A,Polyurethane (PU),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Return and Replacement, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PU Sandwich Cold Storage Room Insulated Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,N/A
Polyurethane Insulation Board Pu Pir Cold Room Fireproof Control Panel Walk in Freezer Panels Cold Storage Room Panel,https://www.alibaba.com/product-detail/Polyurethane-Insulation-Board-Pu-Pir-Cold_1601002008163.html,2025-02-19 16:50:44,N/A,N/A,N/A,40/50/60/75/100/150/200 mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Heilongjiang, China",N/A,N/A,N/A,"water resistant, Fire Resistant",N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Metal,Dongan-347,N/A,N/A,N/A,N/A,N/A,1000mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10X20X10 cm,N/A,N/A,Customer's Require,1.500 kg,N/A,N/A,N/A,"graphic design, 3D model design",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40-42kg/m3,N/A,N/A,N/A,Villa,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dongan,N/A,N/A,N/A,PU Polyurethane 40kg/m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Free spare parts",N/A,N/A,N/A,N/A,N/A,N/A,CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PU Sandwich Panel,N/A,N/A,N/A,N/A,N/A,Metal,PU sandwich panels,N/A,2 years,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Cold-Storage-Room-Cooling-Panels-Cold_1601304372678.html,2025-02-19 16:50:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,Fire Resistant,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XX cm,N/A,N/A,White,kg,N/A,N/A,Sustainable,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation, Others",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Storage & Closet,N/A,N/A,N/A,Traditional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts, Return and Replacement, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PU Sandwich Panel,Construction Insulation,N/A,N/A,N/A,N/A,PIR,N/A,N/A,1 Year,N/A,N/A,N/A,N/A
New Research Refrigerated PU Panels Unit for Cold Room Cold Container Storage Room 40ft,https://www.alibaba.com/product-detail/New-Research-Refrigerated-PU-Panels-Unit_1601236755273.html,2025-02-19 16:51:07,N/A,N/A,N/A,N/A,"SuperMarket, Food processing Factory, Slaugter House, Resturant,Etc",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70MM/100MM/120MM/150MM/200MM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Competitive Price,N/A,"PLC, Engine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Meat, Fish, Fruit, Vegetable",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Container,N/A,N/A,SolisFer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copeland Compressor,N/A,N/A,N/A,N/A,customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Room Door,N/A,N/A,N/A,50hz/ 60hz,N/A
