Product Title,Product URL,Date Scraped,Height,odor,Condition,Brand,Density at boiling point,weight (kg),Packing,SERVICE,Product Name,Flammability Range (in air),Origin,Packaging Details,Item,Business Type,UN No.,Complexion,Boiling point @101.325 kPa,Molecular weight,model number,NET WEIGHT,Water Solubility,Place of Origin,DELIVERY  TIME,Feature,Function,Selling Units:,Supply Ability,Thickness,Classification,Name,Quality,Surface finishing,Critical Density(g/m3),organic,grade,machinery test report,after-sales service provided,CONNECTION:,Volume,Model Number,"Boiling Point, °C",Packing Way,Purpose,operating language,Hazards,Purity,Moisture,Shape,Halocarbon global warming potential,Package,MOISTURE,Outer Diameter,Boiling Point ℃,video outgoing-inspection,Melting Point,Expiration Date,Molecular Weight,Sealing Type,Price,warranty,Single package size:,Ozone depletion potential,Color,OEM,Length,Single gross weight:,Service,Type,Weight,toxic,Shelf life,place of origin,Logo printing,application,Delivery time,Keywords,Delivery date,Refrigerant,Acidity,MF,Reference NO.,UN NO,"Boiling  Point,             C at 1013bar",Use,Application,Description,GWP,type,Model type,power source,Appearance,Critical   Pressure,Car Model,Auto-ignition temperature,Brand Name,feature,Boiling Point,Inner coating,brand name,Net weight,Working pressure,Chemical Name,Diameter,Tube material,Other Names,DOT Class,EINECS No.,Body thickness,Size,Printing,Critical   Temperature,Certification,OE NO.,Voltage,Odor,Molecular Mass,Metal Type,color,Boiling Point(1atm/℃),Model,ODP,Sample,logo/pattern,Cylinder Standard,Displacement,Carton,Chloride,Pressure,"Acidity, PPm",CAS No.,Grade,Wall thickness,condition,Surface Handling,Purity %,Certificate,customized support,Logo,Burst pressure,Product name,Critical   Pressure(Mpa),Usage,Port,After-sales Service Provided,Transport quantity,CAS,Industrial Use,Critical   Temperature C,Material,Keyword,Grade Standard,Printing Handling,Wall Thickness,Warranty,Other name,MOQ
N/A,https://www.alibaba.com/product-detail/Industrial-Purity-99-5-Refrigerant-R170_11000017834293.html,2025-02-19 17:04:11,N/A,N/A,N/A,OEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,Single item,N/A,N/A,Alkene & Derivatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AGEMR170,N/A,N/A,N/A,N/A,N/A,99.5%,N/A,N/A,N/A,Cylinder,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23X23X160 cm,N/A,N/A,N/A,N/A,500.000 kg,N/A,N/A,N/A,N/A,24 month,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C2H6,N/A,N/A,N/A,N/A,Refrigerant,N/A,N/A,N/A,N/A,N/A,Corlorless,N/A,N/A,N/A,OEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ethane r170,2.1,200-841-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GB/ISO/DOT,N/A,N/A,N/A,N/A,N/A,74-84-0,Refrigerant Grade,N/A,N/A,N/A,N/A,ISO9001,N/A,N/A,N/A,R170 Refrigerant,N/A,N/A,N/A,N/A,N/A,74-84-0,N/A,N/A,N/A,N/A,Industrial Grade,N/A,N/A,N/A,R170,N/A
Industrial Purity 99.5% Refrigerant R170 Refrigerant Gas C2H6 Ethane Gas,https://www.alibaba.com/product-detail/Industrial-Purity-99-5-Refrigerant-R170_11000017834293.html,2025-02-19 17:05:26,N/A,N/A,N/A,OEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,Single item,N/A,N/A,Alkene & Derivatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AGEMR170,N/A,N/A,N/A,N/A,N/A,99.5%,N/A,N/A,N/A,Cylinder,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23X23X160 cm,N/A,N/A,N/A,N/A,500.000 kg,N/A,N/A,N/A,N/A,24 month,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C2H6,N/A,N/A,N/A,N/A,Refrigerant,N/A,N/A,N/A,N/A,N/A,Corlorless,N/A,N/A,N/A,OEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ethane r170,2.1,200-841-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GB/ISO/DOT,N/A,N/A,N/A,N/A,N/A,74-84-0,Refrigerant Grade,N/A,N/A,N/A,N/A,ISO9001,N/A,N/A,N/A,R170 Refrigerant,N/A,N/A,N/A,N/A,N/A,74-84-0,N/A,N/A,N/A,N/A,Industrial Grade,N/A,N/A,N/A,R170,N/A
N/A,https://www.alibaba.com/product-detail/Refrigerant-Gas-R600a-Gas-Refrigerant-Manufacture_62476099934.html,2025-02-19 17:05:40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,Single item,N/A,N/A,Alkene & Derivatives,N/A,N/A,N/A,0.2255,N/A,N/A,N/A,N/A,N/A,N/A,R600A,N/A,N/A,N/A,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.5X24.5X42 cm,N/A,N/A,N/A,N/A,9.500 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0001%,CH(CH3)3,N/A,N/A,-11.749,N/A,refrigerant,N/A,11,N/A,N/A,N/A,colorless,3.629,N/A,N/A,SINOLOONG/RONCOOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R600A,N/A,54597-66-9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.122,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75-28-5,N/A,N/A,N/A,N/A,99.9min,N/A,N/A,N/A,N/A,Refrigerant Gas R600a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134.66,N/A,N/A,"Agriculture Grade, Electron Grade, Food Grade, Industrial Grade, Medicine Grade, Reagent Grade",N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/High-Purity-99-9-R290-Propane_1600963244991.html,2025-02-19 17:05:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Manufacturer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,Alkyl & Derivatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R290,N/A,N/A,N/A,N/A,N/A,99.9%≥,N/A,N/A,N/A,N/A,N/A,N/A,-42.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CH3CH2CH3,N/A,N/A,N/A,N/A,"High and medium temperature applications,domestic refrigeration",N/A,3,N/A,N/A,N/A,Colorless and Odorless,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Propane,N/A,N/A,R290,N/A,N/A,N/A,N/A,N/A,N/A,"REACH, ISO",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74-98-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial Grade,N/A,N/A,N/A,N/A,2000kgs
Wholesale Manufacturer New Price Refrigerant High Purity 99.9% Gas Recycled 14.3L/20L/40L Recovery Refrigerant Gas Cylinder,https://www.alibaba.com/product-detail/Wholesale-Manufacturer-New-Price-Refrigerant-High_62138633515.html,2025-02-19 17:06:03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Unfilled Empty R134a Gas Can Cylinder,https://www.alibaba.com/product-detail/Unfilled-Empty-R134a-Gas-Can-Cylinder_1601211071524.html?s=p,2025-02-19 17:07:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R134a Refrigerant Auto Ac air Conditioning Refrigerant Gas Supply / 12kg R134a Refrigerant Gas Professional Manufacture,https://www.alibaba.com/product-detail/R134a-Refrigerant-Auto-Ac-air-Conditioning_1601374345730.html,2025-02-19 17:07:25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R134a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Slightly soluble,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,Alkyl & Derivatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DXTH-R047,N/A,N/A,N/A,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-160 ℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C2H2F4,N/A,N/A,N/A,N/A,Used as refrigerant,N/A,N/A,N/A,N/A,N/A,Colorless,N/A,N/A,N/A,daoxintianhe,N/A,-26.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Isobutane,N/A,200-857-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,811-97-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial Grade,N/A,N/A,N/A,N/A,N/A
Refrigerant Receiver tank Storage tank Liquid Receiver,https://www.alibaba.com/product-detail/Refrigerant-Receiver-Tank-Storage-Tank-Liquid_60632052835.html?s=p,2025-02-19 17:07:35,N/A,N/A,N/A,N/A,N/A,N/A,Carton Box,N/A,Refrigerant Liquid Receiver,N/A,N/A,10pcs for a carton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vertical,N/A,Single item,20000 Piece/Pieces per   Week,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free spare parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,15X15X40 cm,N/A,black/blue/green,N/A,N/A,30.000 kg,N/A,Liquid Receiver,N/A,N/A,N/A,"Guangdong, China",N/A,Commercial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigeration Parts,N/A,N/A,Refrigerator Parts,N/A,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XMK,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1L - 14 L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,condensing unit,guangzhou,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Competitive Price Refrigerant Gas R134A High Quality Refrigerant Gas 13.6KG,https://www.alibaba.com/product-detail/Competitive-Price-Refrigerant-Gas-R134A-High_1601370782035.html,2025-02-19 17:07:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R134 R410 R22 R404 R407,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5.0mm, 4.0mm, 2.0mm, 3.0mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Return and Replacement,N/A,N/A,conditioner refrigerant,N/A,N/A,N/A,English,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Air Conditioning Accessories,N/A,N/A,N/A,"Fujian, China",N/A,Home,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Air Conditioning Fitting,"R134 R410, R404,R407, R22 ,R32 ,R507",Gas,N/A,N/A,N/A,N/A,N/A,"Precise design, High quality materials, easy installation, Sustainable, Durable",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inkjet Printing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Free spare parts, None",Container loading 1140 ctns,N/A,N/A,N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,"30pcs /ctn, 15pcs/ctn"
Refrigerant R2900net Weight 5kg Industrial Refrigeration Gas,https://www.alibaba.com/product-detail/Refrigerant-R2900net-Weight-5kg-Industrial-Refrigeration_1601375502219.html,2025-02-19 17:07:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AC Refrigerant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless Steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A
High Efficiency Refrigeration High Purity Freon Explosive Hot air Conditioning Refrigerant,https://www.alibaba.com/product-detail/High-Efficiency-Refrigeration-High-Purity-Freon_1601377717461.html,2025-02-19 17:08:04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,air conditioning refrigerant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,3.0mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Box,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60X60X60 cm,N/A,Customized Color,N/A,N/A,10.000 kg,N/A,N/A,N/A,N/A,N/A,China,N/A,Commercial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Commercial,N/A,N/A,Air Conditioning Fitting,N/A,Electric,N/A,N/A,N/A,N/A,N/A,Sustainable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plastic,Air Conditioning Parts Spares,N/A,N/A,N/A,N/A,N/A,500pcs
"Filling Refrigerant Butane Gas HCFC LPG Refrigerant Freon, Refrigerant Isobutane R600A Propane R20 Air Conditioning Lubrican",https://www.alibaba.com/product-detail/Filling-Refrigerant-Butane-Gas-HCFC-LPG_1600963263227.html,2025-02-19 17:08:13,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,Standard Air Freight Package,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,2000 Piece/Pieces per   Week,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,50X50X50 cm,N/A,N/A,N/A,"21""",5.000 kg,N/A,N/A,N/A,N/A,N/A,"Hebei, China",N/A,N/A,N/A,jucer filter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jucer Filter, Beverage Filter, Caustic Liquid Filter",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K-221219-2.0,N/A,N/A,N/A,80mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New,N/A,N/A,N/A,N/A,N/A,N/A,Stainless Filter Cartridge,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless Steel 304,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Secop Refrigerator  Compressor 50HZ R134a SC21G for Air Conditioning  Refrigeration Compressor  With High Quality,https://www.alibaba.com/product-detail/Secop-Refrigerator-Compressor-50HZ-R134a-SC21G_1601214837708.html?s=p,2025-02-19 17:08:21,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,1 Year,XX cm,N/A,N/A,N/A,N/A,kg,N/A,N/A,N/A,N/A,N/A,American,N/A,Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigeration Compressor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220V/380V,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Refrigeration compressors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Factory Direct Sale Refrigerant Gas R22 1kg R134a Can,https://www.alibaba.com/product-detail/Factory-Direct-Sale-Refrigerant-Gas-R22_1600634401766.html,2025-02-19 17:08:34,260mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1l refrigerant gas R407c can,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000g,G-1000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32X24X28 cm,N/A,N/A,N/A,N/A,2.835 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bluefire,N/A,N/A,N/A,N/A,N/A,20bar,N/A,73mm,N/A,N/A,N/A,N/A,N/A,N/A,Custom printed,N/A,N/A,N/A,N/A,N/A,N/A,TINPLATE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35mm,N/A,N/A,N/A,N/A,N/A,N/A,30bar,N/A,N/A,Refrigerant gas packig,N/A,N/A,N/A,N/A,Chemical,N/A,Tinplate,N/A,N/A,N/A,N/A,N/A,N/A,N/A
